month,avg_close
2021-04,1601.35
2021-05,1582.16
2021-06,1572.93
2021-07,1519.84
2021-08,1524.3
2021-09,1558.54
2021-10,1574.21
2021-11,1524.19
2021-12,1507.26
2022-01,1537.04
2022-02,1573.56
2022-03,1584.82
2022-04,1597.01
2022-05,1550.15
2022-06,1476.94
2022-07,1443.39
2022-08,1500.15
2022-09,1457.49
2022-10,1417.06
2022-11,1455.15
2022-12,1475.79
2023-01,1490.55
2023-02,1472.82
2023-03,1423.27
2023-04,1427.8
2023-05,1418.08
2023-06,1384.81
2023-07,1411.2
2023-08,1450.66
2023-09,1452.31
2023-10,1434.43
2023-11,1453.83
2023-12,1453.52
2024-01,1491.55
2024-02,1534.0
2024-03,1540.81
2024-04,1555.4
2024-05,1607.52
2024-06,1602.16
2024-07,1619.86
2024-08,1622.4
2024-09,1661.69
2024-10,1634.26
2024-11,1605.8
2024-12,1609.34
2025-01,1587.11
2025-02,1582.38
2025-03,1526.38
2025-04,1488.68
2025-05,1544.61
2025-06,1516.35
2025-07,1531.32
2025-08,1571.88
2025-09,1595.85
2025-10,1618.48
2025-11,1621.86
2025-12,1646.0
2026-01,1709.32
2026-02,1744.95
2026-03,1706.07
2026-04,1701.39
2026-05,1728.85
2026-06,1682.19
